Read Number,Lev Distance,Read Depth of this one plus last one,Lev D/Read Depth
7951,9,171,0.05263157894736842
7956,9,176,0.05113636363636364
7957,9,175,0.05142857142857143
8007,9,220,0.04090909090909091
8015,9,227,0.039647577092511016
8019,9,224,0.04017857142857143
8022,9,220,0.04090909090909091
8031,9,208,0.04326923076923077
8033,9,206,0.043689320388349516
8042,9,210,0.04285714285714286
8047,9,199,0.04522613065326633
8050,9,198,0.045454545454545456
8064,9,194,0.04639175257731959
8071,9,211,0.04265402843601896
8076,9,224,0.04017857142857143
8095,9,242,0.0371900826446281
8097,9,242,0.0371900826446281
8113,9,272,0.03308823529411765
8115,9,272,0.03308823529411765
8120,9,295,0.030508474576271188
8125,9,288,0.03125
8134,9,303,0.0297029702970297
8141,9,307,0.029315960912052116
8156,9,304,0.029605263157894735
8172,9,302,0.029801324503311258
8174,9,302,0.029801324503311258
8175,9,301,0.029900332225913623
8183,9,298,0.030201342281879196
8194,9,292,0.030821917808219176
8203,9,302,0.029801324503311258
8204,9,307,0.029315960912052116
8206,9,311,0.028938906752411574
8208,9,310,0.02903225806451613
8209,9,310,0.02903225806451613
8224,9,326,0.027607361963190184
8225,9,324,0.027777777777777776
8242,9,323,0.02786377708978328
8244,9,322,0.027950310559006212
8258,9,300,0.03
8262,9,296,0.030405405405405407
8275,9,270,0.03333333333333333
8283,9,281,0.03202846975088968
8295,9,279,0.03225806451612903
8370,9,393,0.022900763358778626
8378,9,386,0.023316062176165803
8391,9,369,0.024390243902439025
8396,9,373,0.024128686327077747
8397,9,373,0.024128686327077747
8399,9,372,0.024193548387096774
8404,9,369,0.024390243902439025
8429,9,378,0.023809523809523808
8469,9,352,0.02556818181818182
8487,9,442,0.020361990950226245
8498,9,401,0.022443890274314215
8506,9,412,0.021844660194174758
8513,9,374,0.02406417112299465
8515,9,375,0.024
8523,9,391,0.023017902813299233
8536,9,389,0.02313624678663239
8546,9,393,0.022900763358778626
8563,9,363,0.024793388429752067
8570,9,376,0.023936170212765957
8574,9,374,0.02406417112299465
8583,9,396,0.022727272727272728
8599,9,398,0.022613065326633167
8602,9,393,0.022900763358778626
8624,9,433,0.020785219399538105
8642,9,353,0.025495750708215296
8662,9,372,0.024193548387096774
8666,9,371,0.02425876010781671
8690,9,382,0.02356020942408377
8741,9,357,0.025210084033613446
8753,9,401,0.022443890274314215
8761,9,388,0.023195876288659795
8763,9,384,0.0234375
8769,9,373,0.024128686327077747
8789,9,310,0.02903225806451613
8814,9,246,0.036585365853658534
8824,9,244,0.036885245901639344
8838,9,268,0.033582089552238806
8839,9,268,0.033582089552238806
8847,9,245,0.036734693877551024
8854,9,250,0.036
8857,9,276,0.03260869565217391
8861,9,258,0.03488372093023256
8869,9,249,0.03614457831325301
8876,9,249,0.03614457831325301
8882,9,248,0.036290322580645164
8890,9,270,0.03333333333333333
8901,9,211,0.04265402843601896
8909,9,202,0.04455445544554455
8916,9,201,0.04477611940298507
8920,9,202,0.04455445544554455
8927,9,201,0.04477611940298507
8934,9,185,0.04864864864864865
8935,9,187,0.0481283422459893
8955,9,198,0.045454545454545456
8970,9,183,0.04918032786885246
8998,9,171,0.05263157894736842
9002,9,167,0.05389221556886228
9013,9,146,0.06164383561643835
9022,9,157,0.05732484076433121
9030,9,162,0.05555555555555555
9031,9,164,0.054878048780487805
9044,9,129,0.06976744186046512
9998,9,89,0.10112359550561797
10057,9,74,0.12162162162162163
10646,9,85,0.10588235294117647
10696,9,112,0.08035714285714286
10738,9,131,0.06870229007633588
10745,9,134,0.06716417910447761
10751,9,136,0.0661764705882353
10802,9,122,0.07377049180327869
10880,9,150,0.06
10892,9,140,0.06428571428571428
10934,9,120,0.075
10937,9,118,0.07627118644067797
10952,9,119,0.07563025210084033
11141,9,79,0.11392405063291139
11255,9,62,0.14516129032258066
51006,9,24,0.375
51791,9,175,0.05142857142857143
51792,9,176,0.05113636363636364
51797,9,172,0.05232558139534884
51804,9,170,0.052941176470588235
51805,9,170,0.052941176470588235
51811,9,168,0.05357142857142857
51829,9,159,0.05660377358490566
51840,9,140,0.06428571428571428
51841,9,140,0.06428571428571428
51856,9,137,0.06569343065693431
51868,9,128,0.0703125
51879,9,119,0.07563025210084033
51896,9,107,0.08411214953271028
52041,9,140,0.06428571428571428
52043,9,143,0.06293706293706294
52058,9,174,0.05172413793103448
52071,9,178,0.05056179775280899
52084,9,176,0.05113636363636364
52090,9,180,0.05
52092,9,184,0.04891304347826087
52095,9,187,0.0481283422459893
52117,9,260,0.03461538461538462
52121,9,262,0.03435114503816794
52122,9,267,0.033707865168539325
52123,9,270,0.03333333333333333
52136,9,290,0.03103448275862069
52141,9,286,0.03146853146853147
52144,9,283,0.03180212014134275
52166,9,322,0.027950310559006212
52170,9,329,0.02735562310030395
52180,9,340,0.026470588235294117
52190,9,357,0.025210084033613446
52213,9,356,0.025280898876404494
52214,9,358,0.025139664804469275
52218,9,358,0.025139664804469275
52244,9,387,0.023255813953488372
52263,9,365,0.024657534246575342
52273,9,354,0.025423728813559324
52290,9,338,0.026627218934911243
52296,9,347,0.025936599423631124
52297,9,344,0.02616279069767442
52312,9,326,0.027607361963190184
52320,9,329,0.02735562310030395
52321,9,330,0.02727272727272727
52322,9,330,0.02727272727272727
52327,9,320,0.028125
52341,9,320,0.028125
52358,9,356,0.025280898876404494
52371,9,354,0.025423728813559324
